timestamp,global_radiation,air_temperature_c,snow_depth_cm
2020-12-07 13:00:00+00:00,9.4,4.3,40.0
2020-12-07 14:00:00+00:00,3.4,4.4,40.0
2020-12-07 15:00:00+00:00,0.0,4.9,40.0
2020-12-07 16:00:00+00:00,0.0,5.2,40.0
2020-12-07 17:00:00+00:00,0.0,5.5,40.0
2020-12-07 18:00:00+00:00,0.0,5.8,40.0
2020-12-07 19:00:00+00:00,0.0,6.1,40.0
2020-12-07 20:00:00+00:00,0.0,5.9,40.0
2020-12-07 21:00:00+00:00,0.0,7.1,40.0
2020-12-07 22:00:00+00:00,0.0,9.1,40.0
2020-12-07 23:00:00+00:00,0.0,9.0,40.0
2020-12-08 00:00:00+00:00,0.0,7.9,40.0
2020-12-08 01:00:00+00:00,0.0,6.9,40.0
2020-12-08 02:00:00+00:00,0.0,6.2,40.0
2020-12-08 03:00:00+00:00,0.0,6.6,40.0
2020-12-08 04:00:00+00:00,0.0,7.3,40.0
2020-12-08 05:00:00+00:00,0.0,7.3,40.0
2020-12-08 06:00:00+00:00,0.0,7.2,40.0
2020-12-08 07:00:00+00:00,0.0,7.8,40.0
2020-12-08 08:00:00+00:00,0.0,7.2,40.0
2020-12-08 09:00:00+00:00,0.0,7.0,40.0
2020-12-08 10:00:00+00:00,7.6,7.3,40.0
2020-12-08 11:00:00+00:00,9.8,7.6,40.0
2020-12-08 12:00:00+00:00,13.0,7.0,40.0
2020-12-08 13:00:00+00:00,11.3,7.1,40.0
2020-12-08 14:00:00+00:00,2.8,6.6,40.0
2020-12-08 15:00:00+00:00,0.0,5.6,40.0
2020-12-08 16:00:00+00:00,0.0,5.4,40.0
2020-12-08 17:00:00+00:00,0.0,5.4,40.0
2020-12-08 18:00:00+00:00,0.0,5.0,40.0
2020-12-08 19:00:00+00:00,0.0,5.1,40.0
2020-12-08 20:00:00+00:00,0.0,5.0,40.0
2020-12-08 21:00:00+00:00,0.0,5.4,40.0
2020-12-08 22:00:00+00:00,0.0,4.7,40.0
2020-12-08 23:00:00+00:00,0.0,4.2,40.0
2020-12-09 00:00:00+00:00,0.0,4.3,40.0
2020-12-09 01:00:00+00:00,0.0,4.3,40.0
2020-12-09 02:00:00+00:00,0.0,4.7,40.0
2020-12-09 03:00:00+00:00,0.0,5.1,40.0
2020-12-09 04:00:00+00:00,0.0,5.1,40.0
2020-12-09 05:00:00+00:00,0.0,4.5,40.0
2020-12-09 06:00:00+00:00,0.0,4.3,40.0
2020-12-09 07:00:00+00:00,0.0,4.1,40.0
2020-12-09 08:00:00+00:00,0.0,4.0,40.0
2020-12-09 09:00:00+00:00,1.0,3.6,40.0
2020-12-09 10:00:00+00:00,12.8,3.7,40.0
2020-12-09 11:00:00+00:00,35.1,4.5,39.0
